"PID","CITY","ZIPCODE","LUC","OWN_OCC","LIVING_AREA","YR_BUILT","EXT_COND","BED_RMS","FULL_BTH","VALUE_2015","VALUE_2016","VALUE_2017","VALUE_2018","VALUE_2019","VALUE_2020","VALUE_2021"
100714000,"EAST BOSTON","02128",101,"Y",840,1910,"A - Average",2,1,183100,203400,215600,222100,233300,261400,349400
100715000,"EAST BOSTON","02128",101,"Y",1762,1910,"A - Average",4,1,251200,305800,331200,341200,358400,401500,489100
100718000,"EAST BOSTON","02128",101,"Y",1062,1910,"A - Average",2,1,272100,295200,313000,322400,338600,379400,470800
100722000,"EAST BOSTON","02128",101,"Y",1289,1910,"A - Average",2,1,246500,270200,286400,295100,309900,347300,428300
100724000,"EAST BOSTON","02128",101,"Y",1338,1910,"A - Average",3,1,257300,295900,313600,323100,339400,449400,514700
100727000,"EAST BOSTON","02128",101,"Y",1020,1910,"G - Good",2,1,299500,318800,338000,348200,365700,410300,497800
100736000,"EAST BOSTON","02128",101,"Y",1156,1910,"A - Average",4,1,199100,216000,229000,235900,247700,282300,338400
100737000,"EAST BOSTON","02128",101,"Y",1098,1910,"A - Average",3,1,199800,229300,243100,250400,263000,294700,350500
100739000,"EAST BOSTON","02128",101,"Y",1917,1910,"A - Average",4,2,321400,367500,389500,401300,421500,472200,604300
100741000,"EAST BOSTON","02128",101,"Y",2081,1910,"A - Average",2,1,259300,294100,311800,321200,337400,378500,448100
100742000,"EAST BOSTON","02128",101,"N",1238,1900,"A - Average",2,1,268200,284400,301500,310600,326200,365200,416800
100751000,"EAST BOSTON","02128",101,"Y",1033,1910,"A - Average",2,1,127000,175800,186300,192000,201600,226400,295200
100756000,"EAST BOSTON","02128",101,"Y",1406,1910,"A - Average",3,1,224100,298600,316500,326100,342500,383700,494000
100758000,"EAST BOSTON","02128",101,"Y",1010,1910,"A - Average",2,1,203800,239900,312600,322000,338300,379300,456600
100759000,"EAST BOSTON","02128",101,"Y",1187,1910,"A - Average",3,2,299000,336600,356800,367600,386100,435300,510700
100760005,"EAST BOSTON","02128",101,"Y",1059,1910,"A - Average",4,1,223000,248600,263500,271500,285100,319400,388800
100779000,"EAST BOSTON","02128",101,"N",1090,1890,"A - Average",3,1,185800,181800,192700,198600,208600,233700,282300
100800000,"EAST BOSTON","02128",101,"Y",1013,1900,"A - Average",1,1,189000,218300,231400,237300,249300,279200,399500
100804000,"EAST BOSTON","02128",101,"N",1610,1900,"A - Average",3,3,237800,270500,286800,295400,310300,347800,489700
100810000,"EAST BOSTON","02128",101,"Y",1921,1900,"F - Fair",4,2,209600,263200,279000,287400,301900,338200,419300
100814000,"EAST BOSTON","02128",101,"N",1341,1900,"A - Average",3,1,224800,261900,277600,286000,300400,337900,438600
100818000,"EAST BOSTON","02128",101,"Y",1806,1900,"A - Average",3,3,227500,284400,301500,310600,326200,372300,481700
100820000,"EAST BOSTON","02128",101,"Y",920,1900,"G - Good",2,1,170400,181300,192200,198000,207900,263800,326100
100821000,"EAST BOSTON","02128",101,"Y",1263,1890,"A - Average",4,2,277500,295500,313200,322700,338900,379800,471200
100822000,"EAST BOSTON","02128",101,"Y",894,1900,"G - Good",3,1,255000,253400,268600,276700,290600,325500,410100
100825000,"EAST BOSTON","02128",101,"Y",921,1910,"G - Good",3,1,177000,223100,236500,243600,255900,333900,431500
100829000,"EAST BOSTON","02128",101,"N",1784,1910,"A - Average",3,1,277100,300200,318200,327800,344300,386100,445100
100835000,"EAST BOSTON","02128",101,"Y",1672,1890,"A - Average",3,1,227100,269800,286000,294600,309500,346700,368000
100837000,"EAST BOSTON","02128",101,"Y",965,1910,"G - Good",2,1,228800,229500,243300,250600,263300,294900,361200
100838000,"EAST BOSTON","02128",101,"Y",1800,1910,"A - Average",4,2,237000,275800,292400,301200,316400,354300,411300
100839000,"EAST BOSTON","02128",101,"Y",1872,1900,"A - Average",3,2,232100,261300,277000,329100,345700,387200,422400
100846000,"EAST BOSTON","02128",101,"Y",896,1910,"A - Average",2,1,187200,208800,221300,228000,265000,296900,408200
100848000,"EAST BOSTON","02128",101,"Y",1204,1910,"A - Average",2,1,188300,236800,251100,257800,270800,303800,413500
100857000,"EAST BOSTON","02128",101,"Y",1850,1890,"A - Average",3,1,222400,292100,309600,318400,334500,374700,469400
100865000,"EAST BOSTON","02128",101,"N",1574,1900,"G - Good",3,1,279500,309000,327500,337400,354400,397100,495000
100866000,"EAST BOSTON","02128",101,"Y",1087,1910,"G - Good",2,1,203200,236000,250100,299100,314200,352200,432900
100869000,"EAST BOSTON","02128",101,"Y",1727,2003,"G - Good",3,2,371200,461200,488900,503600,529000,592600,702700
100869001,"EAST BOSTON","02128",101,"Y",1461,1910,"A - Average",4,1,218900,272800,289200,298400,313500,351200,462300
100871000,"EAST BOSTON","02128",101,"N",1106,1910,"A - Average",3,1,265500,306900,325300,335100,352000,394500,551800
100872001,"EAST BOSTON","02128",101,"N",2165,1910,"A - Average",5,1,253800,347800,368700,387900,407400,456400,569400
100882000,"EAST BOSTON","02128",101,"Y",956,1910,"A - Average",2,1,168500,200300,212300,218700,229700,308600,385700
100883000,"EAST BOSTON","02128",101,"Y",1625,1890,"A - Average",3,1,244100,283200,300100,309200,324800,363800,406000
100900000,"EAST BOSTON","02128",101,"Y",1352,1900,"F - Fair",4,1,143600,236300,250500,258100,271100,303600,320500
100911000,"EAST BOSTON","02128",101,"Y",949,1900,"A - Average",2,1,179700,225800,239300,246600,259000,290000,353000
100912000,"EAST BOSTON","02128",101,"Y",1014,1966,"A - Average",2,1,239700,308800,327400,324300,340700,381700,474000
100920010,"EAST BOSTON","02128",101,"Y",3615,2012,"G - Good",4,3,499800,538500,570800,588000,591600,662800,846400
100924000,"EAST BOSTON","02128",101,"Y",1448,1900,"A - Average",2,1,191600,235700,249800,257400,275600,308700,380400
100931000,"EAST BOSTON","02128",101,"Y",1401,1900,"A - Average",4,1,247100,272100,288400,297100,312100,349700,411400
100932000,"EAST BOSTON","02128",101,"Y",1161,1910,"A - Average",3,1,171000,220700,233900,241000,253100,283900,335900
100933000,"EAST BOSTON","02128",101,"Y",1938,1900,"A - Average",3,2,245600,267400,338200,348400,401000,449300,532400
100934000,"EAST BOSTON","02128",101,"Y",788,1900,"G - Good",3,1,236600,257800,273300,281500,295700,331200,411100
